Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
3519,73628,Male,Loyal Customer,54,Business travel,Business,2800,0,5,1,4,2,5,4,3,3,3,3,5,3,5,8,5.0,satisfied
4010,89022,Male,Loyal Customer,59,Personal Travel,Business,2092,3,2,3,3,2,4,4,2,2,3,2,4,2,1,0,0.0,neutral or dissatisfied
30623,19829,Male,Loyal Customer,51,Business travel,Business,3563,2,2,2,2,2,3,4,2,2,2,2,3,2,1,0,19.0,neutral or dissatisfied
52315,85320,Female,Loyal Customer,32,Personal Travel,Eco,813,3,1,3,4,3,3,3,3,1,1,4,4,3,3,18,0.0,neutral or dissatisfied
24239,94949,Female,Loyal Customer,38,Business travel,Business,248,3,4,4,4,1,4,3,3,3,3,3,4,3,1,27,23.0,neutral or dissatisfied
84851,61098,Female,Loyal Customer,36,Personal Travel,Eco,1709,2,4,2,3,3,2,3,3,1,4,3,1,3,3,24,0.0,neutral or dissatisfied
103519,92563,Male,Loyal Customer,60,Business travel,Business,1892,5,5,2,5,3,4,4,4,4,4,4,3,4,4,0,0.0,satisfied
81524,57311,Female,Loyal Customer,41,Business travel,Business,2043,2,2,2,2,4,5,4,4,4,4,4,3,4,4,0,11.0,satisfied
54210,19192,Female,Loyal Customer,32,Business travel,Business,2304,4,4,4,4,5,5,5,5,5,4,3,2,3,5,0,0.0,satisfied
81532,22550,Female,Loyal Customer,45,Business travel,Business,3376,1,1,4,1,3,4,5,4,4,4,4,3,4,3,2,6.0,satisfied
49061,114630,Male,Loyal Customer,58,Business travel,Business,362,5,2,5,5,5,5,5,4,4,4,4,3,4,3,6,7.0,satisfied
36530,31097,Female,Loyal Customer,50,Personal Travel,Eco,1014,3,4,3,4,2,4,3,2,2,3,3,1,2,3,12,4.0,neutral or dissatisfied
80704,65173,Female,Loyal Customer,65,Personal Travel,Eco,469,1,5,1,1,4,4,4,4,4,1,3,4,4,5,0,0.0,neutral or dissatisfied
33023,102953,Male,Loyal Customer,47,Personal Travel,Eco,719,1,5,2,1,2,2,2,2,3,3,4,4,5,2,23,12.0,neutral or dissatisfied
27060,87729,Female,Loyal Customer,55,Personal Travel,Eco Plus,591,2,4,2,2,2,5,4,3,3,2,4,4,3,4,0,0.0,neutral or dissatisfied
19164,116801,Female,Loyal Customer,9,Personal Travel,Eco Plus,447,2,2,2,3,2,2,2,2,3,2,3,1,4,2,13,4.0,neutral or dissatisfied
66565,1382,Male,Loyal Customer,37,Business travel,Eco Plus,140,4,2,2,2,4,4,4,4,4,3,3,4,4,4,0,0.0,neutral or dissatisfied
1931,73178,Male,disloyal Customer,27,Business travel,Business,1258,5,5,5,4,1,5,1,1,5,4,5,3,4,1,0,0.0,satisfied
98572,97905,Female,Loyal Customer,54,Business travel,Business,3277,3,3,5,3,5,5,5,4,4,5,4,5,4,5,0,0.0,satisfied
66592,115247,Male,disloyal Customer,25,Business travel,Business,358,5,0,5,2,4,5,4,4,5,2,4,4,5,4,0,0.0,satisfied
54932,104581,Male,Loyal Customer,22,Business travel,Eco,369,3,1,1,1,3,3,1,3,3,1,3,3,3,3,0,0.0,neutral or dissatisfied
100944,359,Male,Loyal Customer,55,Business travel,Business,3431,0,4,0,5,3,5,4,5,5,5,5,4,5,4,0,0.0,satisfied
4756,87395,Female,Loyal Customer,20,Business travel,Business,1687,1,0,0,3,1,0,1,1,1,1,3,4,4,1,0,0.0,neutral or dissatisfied
96556,16103,Female,Loyal Customer,20,Personal Travel,Eco,349,3,5,3,3,1,3,1,1,4,2,5,3,5,1,0,0.0,neutral or dissatisfied
20764,110717,Female,Loyal Customer,55,Personal Travel,Business,990,4,4,4,2,4,4,4,4,4,4,4,4,4,5,0,1.0,neutral or dissatisfied
56079,75635,Male,Loyal Customer,48,Business travel,Business,3567,5,5,5,5,4,4,5,4,4,5,4,4,4,4,0,0.0,satisfied
32571,82569,Female,Loyal Customer,32,Business travel,Business,2339,1,1,5,1,4,5,4,4,5,5,4,5,4,4,12,1.0,satisfied
47810,66416,Male,Loyal Customer,40,Personal Travel,Eco,1562,3,1,3,4,3,3,3,3,3,3,4,3,4,3,0,0.0,neutral or dissatisfied
89466,23876,Female,Loyal Customer,44,Business travel,Business,589,2,2,2,2,4,4,5,4,4,4,4,3,4,3,22,47.0,satisfied
97931,108018,Female,disloyal Customer,25,Business travel,Business,589,0,0,0,4,1,0,1,1,3,4,4,5,5,1,2,0.0,satisfied
84012,33255,Male,Loyal Customer,21,Business travel,Eco Plus,101,2,4,2,4,2,2,3,2,2,5,3,4,4,2,0,0.0,neutral or dissatisfied
33525,61986,Female,Loyal Customer,61,Personal Travel,Business,2475,4,0,4,3,4,4,1,5,3,5,4,1,5,1,156,152.0,neutral or dissatisfied
12796,28123,Male,disloyal Customer,10,Business travel,Eco,550,4,0,4,1,3,4,3,3,2,2,4,4,3,3,0,0.0,satisfied
11747,84326,Male,Loyal Customer,46,Business travel,Business,2389,5,5,5,5,5,4,4,4,4,4,4,3,4,3,0,5.0,satisfied
66451,106629,Female,disloyal Customer,25,Business travel,Eco,306,3,2,3,4,1,3,1,1,2,5,4,3,4,1,48,52.0,neutral or dissatisfied
13529,122285,Female,Loyal Customer,53,Personal Travel,Eco,546,2,1,2,2,4,1,1,1,1,2,1,3,1,2,26,26.0,neutral or dissatisfied
50394,106871,Female,Loyal Customer,43,Business travel,Business,577,4,4,4,4,4,5,4,2,2,2,2,5,2,5,1,0.0,satisfied
43023,74897,Female,Loyal Customer,42,Business travel,Business,2475,2,2,2,2,4,4,5,5,5,5,5,3,5,5,0,0.0,satisfied
5647,89900,Male,Loyal Customer,38,Business travel,Eco,1306,3,1,2,1,3,3,3,3,4,2,2,1,2,3,0,32.0,neutral or dissatisfied
66372,55241,Female,disloyal Customer,25,Business travel,Eco,1009,2,2,2,3,1,2,1,1,1,3,3,3,3,1,14,26.0,neutral or dissatisfied
13891,115608,Female,disloyal Customer,26,Business travel,Business,337,4,3,4,3,3,4,3,3,4,3,5,5,4,3,9,4.0,satisfied
21922,88422,Male,Loyal Customer,59,Business travel,Eco,240,1,3,3,3,1,1,1,1,1,3,1,3,2,1,0,0.0,neutral or dissatisfied
49807,44711,Male,Loyal Customer,31,Personal Travel,Eco,67,2,5,2,5,4,2,4,4,3,5,5,4,4,4,0,17.0,neutral or dissatisfied
27671,102877,Female,Loyal Customer,31,Personal Travel,Eco,472,1,0,1,5,1,1,1,1,5,3,5,3,5,1,12,21.0,neutral or dissatisfied
15479,14770,Female,Loyal Customer,20,Personal Travel,Eco Plus,533,3,4,3,2,5,3,1,5,5,3,4,3,5,5,42,24.0,neutral or dissatisfied
90264,11075,Male,Loyal Customer,18,Personal Travel,Eco,216,5,0,5,4,3,5,2,3,5,2,4,1,4,3,0,0.0,satisfied
60752,14605,Male,Loyal Customer,30,Business travel,Business,448,3,3,3,3,4,4,4,4,1,1,4,1,2,4,0,5.0,satisfied
102292,38919,Male,Loyal Customer,48,Business travel,Business,2516,2,2,2,2,1,4,3,5,5,5,5,5,5,5,0,0.0,satisfied
11693,92741,Female,Loyal Customer,39,Business travel,Business,876,4,4,1,4,4,4,4,4,4,4,4,3,4,4,0,0.0,satisfied
21541,112587,Female,disloyal Customer,27,Business travel,Business,639,5,5,5,3,3,5,3,3,5,4,5,5,4,3,10,0.0,satisfied
824,110029,Male,Loyal Customer,72,Business travel,Eco Plus,1204,2,4,4,4,2,2,2,2,2,1,3,1,3,2,55,34.0,neutral or dissatisfied
103874,7527,Female,Loyal Customer,23,Business travel,Business,762,4,1,1,1,4,4,4,4,2,4,3,4,3,4,0,13.0,neutral or dissatisfied
25619,87889,Female,Loyal Customer,53,Business travel,Business,3105,2,2,2,2,2,4,4,3,3,3,3,5,3,5,8,15.0,satisfied
36383,82529,Male,Loyal Customer,13,Personal Travel,Eco,1749,2,3,2,1,3,2,3,3,5,4,2,3,3,3,9,0.0,neutral or dissatisfied
83793,87229,Female,Loyal Customer,47,Business travel,Business,2134,1,1,1,1,5,5,5,5,5,5,5,3,5,5,4,0.0,satisfied
58529,64726,Female,disloyal Customer,33,Business travel,Business,190,1,0,0,4,3,0,3,3,3,2,4,3,5,3,0,0.0,neutral or dissatisfied
49373,80256,Male,Loyal Customer,51,Business travel,Business,1969,2,2,2,2,3,3,5,5,5,5,5,3,5,5,0,1.0,satisfied
65667,100801,Female,Loyal Customer,10,Personal Travel,Eco,748,5,4,4,2,5,4,5,5,3,3,4,3,4,5,0,0.0,satisfied
97589,43775,Male,Loyal Customer,63,Personal Travel,Eco,481,1,4,3,1,5,3,5,5,4,5,1,2,1,5,0,5.0,neutral or dissatisfied
55898,88980,Male,Loyal Customer,37,Personal Travel,Eco,1199,2,2,1,3,4,1,4,4,1,3,4,2,3,4,2,0.0,neutral or dissatisfied
31677,120691,Male,Loyal Customer,13,Personal Travel,Eco,280,1,5,5,1,5,5,4,5,3,5,5,3,4,5,0,0.0,neutral or dissatisfied
52526,98604,Female,Loyal Customer,60,Business travel,Business,861,5,5,5,5,2,5,5,5,5,4,5,4,5,3,20,0.0,satisfied
25593,56263,Female,disloyal Customer,33,Business travel,Eco,404,4,1,4,3,3,4,3,3,4,5,4,3,3,3,0,0.0,neutral or dissatisfied
3296,30223,Female,Loyal Customer,44,Personal Travel,Eco,1109,3,4,3,4,4,5,5,1,1,3,1,5,1,3,0,31.0,neutral or dissatisfied
40666,90635,Male,Loyal Customer,57,Business travel,Business,406,4,4,4,4,2,4,4,4,4,4,4,5,4,5,1,0.0,satisfied
77834,114780,Female,Loyal Customer,57,Business travel,Business,2275,2,2,4,2,4,5,4,4,4,4,4,5,4,5,0,0.0,satisfied
3983,84330,Female,Loyal Customer,31,Business travel,Business,606,3,5,3,3,5,5,5,5,3,3,5,3,4,5,1,0.0,satisfied
80167,53086,Female,Loyal Customer,69,Personal Travel,Eco,2327,0,5,0,3,5,4,4,5,5,0,5,2,5,3,9,0.0,satisfied
24249,45840,Male,Loyal Customer,21,Personal Travel,Eco,411,1,4,3,3,4,3,4,4,5,4,4,4,5,4,0,0.0,neutral or dissatisfied
18415,127806,Male,Loyal Customer,46,Business travel,Business,3436,4,4,4,4,3,5,4,4,4,4,4,5,4,4,0,0.0,satisfied
18933,2572,Male,Loyal Customer,51,Business travel,Business,3185,1,1,1,1,4,5,4,5,5,5,5,4,5,3,0,0.0,satisfied
69027,15154,Female,Loyal Customer,65,Personal Travel,Eco,1042,2,4,2,2,4,5,4,2,2,2,2,5,2,5,111,86.0,neutral or dissatisfied
53374,45838,Male,Loyal Customer,68,Personal Travel,Eco,517,1,5,1,5,5,1,5,5,5,5,5,4,5,5,0,0.0,neutral or dissatisfied
89493,664,Male,Loyal Customer,58,Business travel,Business,2620,1,1,1,1,3,5,4,5,5,4,5,4,5,5,0,0.0,satisfied
96071,120978,Female,Loyal Customer,51,Business travel,Business,2568,1,5,5,5,3,4,3,1,1,1,1,4,1,1,46,39.0,neutral or dissatisfied
46327,73452,Female,Loyal Customer,9,Personal Travel,Eco,1197,3,4,3,3,5,3,2,5,1,5,4,4,3,5,0,0.0,neutral or dissatisfied
13281,120497,Female,Loyal Customer,45,Business travel,Business,3471,2,2,2,2,5,5,5,4,4,4,4,3,4,5,22,15.0,satisfied
63707,55323,Male,Loyal Customer,41,Business travel,Business,1325,1,2,2,2,3,4,3,1,1,1,1,1,1,4,2,10.0,neutral or dissatisfied
2721,85490,Male,Loyal Customer,23,Personal Travel,Eco,152,0,5,0,2,2,0,2,2,3,4,4,3,4,2,1,0.0,satisfied
62650,33065,Male,Loyal Customer,59,Personal Travel,Eco,163,2,4,0,3,1,0,1,1,5,3,5,4,4,1,0,0.0,neutral or dissatisfied
95086,115914,Female,Loyal Customer,24,Business travel,Business,2118,2,2,2,2,2,2,2,2,3,2,3,3,4,2,123,121.0,neutral or dissatisfied
43046,42612,Female,Loyal Customer,21,Business travel,Business,481,2,2,2,2,4,4,4,4,4,2,5,2,3,4,0,0.0,satisfied
1032,14336,Male,Loyal Customer,35,Personal Travel,Eco,395,1,4,1,1,4,1,2,4,5,4,5,3,5,4,23,33.0,neutral or dissatisfied
17672,33384,Female,Loyal Customer,69,Personal Travel,Eco,2556,2,5,2,3,3,3,4,1,1,2,1,5,1,3,0,0.0,neutral or dissatisfied
55913,61481,Male,Loyal Customer,49,Business travel,Business,2442,2,3,3,3,2,2,3,2,2,3,2,4,2,2,60,56.0,neutral or dissatisfied
36504,111319,Female,disloyal Customer,17,Business travel,Eco,283,4,2,4,4,4,4,4,4,4,3,3,3,3,4,20,10.0,neutral or dissatisfied
96653,16444,Male,Loyal Customer,42,Business travel,Eco,529,2,5,5,5,2,2,2,2,2,3,4,4,4,2,0,0.0,neutral or dissatisfied
100873,1078,Female,Loyal Customer,20,Personal Travel,Eco,102,4,3,4,1,3,4,3,3,1,3,5,5,4,3,3,0.0,neutral or dissatisfied
11752,47358,Female,Loyal Customer,36,Business travel,Business,532,3,3,3,3,2,1,2,4,4,4,4,4,4,1,0,0.0,satisfied
54794,104807,Female,Loyal Customer,19,Personal Travel,Eco,587,4,5,4,3,5,4,1,5,5,5,4,4,5,5,16,8.0,neutral or dissatisfied
30554,41671,Female,Loyal Customer,31,Business travel,Eco,347,3,5,5,5,3,3,3,3,1,1,2,4,3,3,0,8.0,neutral or dissatisfied
36079,75557,Female,Loyal Customer,51,Business travel,Business,2892,4,4,4,4,4,5,5,5,5,5,5,5,5,5,0,0.0,satisfied
32733,97369,Female,Loyal Customer,60,Personal Travel,Eco,1020,2,4,2,1,1,5,3,4,4,2,4,2,4,5,5,0.0,neutral or dissatisfied
81404,109718,Female,disloyal Customer,25,Business travel,Business,587,1,0,1,3,3,1,3,3,5,2,5,5,5,3,29,10.0,neutral or dissatisfied
916,32424,Male,Loyal Customer,49,Business travel,Business,163,2,1,5,1,4,2,3,3,3,3,2,1,3,4,0,0.0,neutral or dissatisfied
19139,89109,Male,Loyal Customer,58,Business travel,Eco,1947,2,2,2,2,2,2,2,2,2,1,3,1,2,2,5,8.0,neutral or dissatisfied
31603,116051,Female,Loyal Customer,7,Personal Travel,Eco,337,1,4,1,2,1,1,1,1,5,4,5,1,1,1,0,0.0,neutral or dissatisfied
6161,41972,Male,Loyal Customer,51,Personal Travel,Eco,618,1,5,1,1,3,1,3,3,5,2,4,3,5,3,0,0.0,neutral or dissatisfied
57530,91101,Female,Loyal Customer,52,Personal Travel,Eco,404,1,4,1,2,2,4,4,2,2,1,2,5,2,3,0,0.0,neutral or dissatisfied
60182,2048,Male,Loyal Customer,40,Business travel,Business,785,4,4,4,4,2,5,4,5,5,5,5,5,5,4,0,0.0,satisfied
61517,54625,Female,Loyal Customer,46,Business travel,Business,854,5,5,5,5,4,5,1,4,4,4,4,5,4,5,0,0.0,satisfied
65046,55577,Male,Loyal Customer,51,Business travel,Business,2773,3,3,5,3,4,4,5,5,5,5,5,5,5,4,0,0.0,satisfied
18086,128668,Male,Loyal Customer,26,Business travel,Business,2419,1,2,2,2,1,2,1,1,2,1,4,3,3,1,25,13.0,neutral or dissatisfied
70850,29344,Male,Loyal Customer,50,Business travel,Eco Plus,873,4,5,5,5,4,4,4,4,2,1,1,5,1,4,0,0.0,satisfied
69455,76824,Female,Loyal Customer,52,Business travel,Business,1851,1,1,1,1,2,5,5,4,4,4,4,5,4,3,0,0.0,satisfied
1139,24367,Male,Loyal Customer,34,Business travel,Business,3162,1,1,4,1,1,2,5,5,5,5,5,1,5,2,80,73.0,satisfied
37190,69996,Female,Loyal Customer,14,Personal Travel,Eco,236,2,5,2,3,2,2,2,2,3,3,5,5,4,2,0,0.0,neutral or dissatisfied
23486,16191,Female,Loyal Customer,55,Business travel,Business,199,1,4,4,4,1,1,2,3,5,3,3,2,1,2,210,206.0,neutral or dissatisfied
67281,90037,Male,Loyal Customer,34,Business travel,Business,1127,1,1,1,1,2,5,5,4,4,4,4,4,4,5,0,0.0,satisfied
80678,48701,Female,Loyal Customer,33,Business travel,Business,2591,0,0,0,2,3,5,4,4,4,4,4,5,4,4,0,0.0,satisfied
81914,122857,Male,Loyal Customer,68,Business travel,Eco,226,2,3,3,3,3,2,3,3,4,3,3,4,3,3,0,0.0,neutral or dissatisfied
75855,20015,Female,Loyal Customer,59,Personal Travel,Eco,589,3,5,3,4,2,5,4,1,1,3,1,3,1,5,46,42.0,neutral or dissatisfied
47288,10292,Female,disloyal Customer,26,Business travel,Business,216,4,4,4,1,5,4,5,5,3,2,5,4,4,5,15,27.0,neutral or dissatisfied
15246,5309,Male,Loyal Customer,16,Personal Travel,Eco,285,2,4,2,1,1,2,1,1,3,3,4,4,4,1,0,0.0,neutral or dissatisfied
53319,112954,Male,Loyal Customer,67,Personal Travel,Eco,1211,4,4,4,3,2,4,2,2,1,5,4,2,4,2,8,13.0,neutral or dissatisfied
25714,108774,Female,Loyal Customer,48,Business travel,Business,1790,2,2,2,2,2,4,4,4,4,5,4,5,4,5,11,4.0,satisfied
38597,32526,Male,Loyal Customer,78,Business travel,Business,3771,2,2,5,2,2,4,4,4,4,4,4,4,4,3,0,0.0,satisfied
65281,126271,Male,Loyal Customer,20,Personal Travel,Eco,600,5,1,5,4,2,5,2,2,4,1,4,2,4,2,0,5.0,satisfied
40058,118333,Female,Loyal Customer,42,Business travel,Eco,602,1,2,2,2,3,3,4,1,1,1,1,3,1,3,28,6.0,neutral or dissatisfied
23961,49116,Female,disloyal Customer,35,Business travel,Eco,421,1,0,1,1,5,1,5,5,5,2,5,3,5,5,0,5.0,neutral or dissatisfied
46591,2164,Female,Loyal Customer,45,Business travel,Business,685,4,4,4,4,4,5,5,5,5,5,5,4,5,3,30,21.0,satisfied
101901,31021,Female,Loyal Customer,40,Personal Travel,Eco,391,3,2,3,4,3,3,3,3,1,1,4,4,4,3,0,8.0,neutral or dissatisfied
82428,91786,Male,Loyal Customer,30,Personal Travel,Eco,590,4,4,4,1,3,4,3,3,5,4,5,5,4,3,4,3.0,neutral or dissatisfied
63389,43438,Female,Loyal Customer,53,Business travel,Business,679,5,5,5,5,5,4,4,3,2,4,4,4,4,4,235,243.0,satisfied
44602,120117,Male,Loyal Customer,36,Business travel,Eco,1176,3,3,3,3,3,3,3,3,3,3,4,2,4,3,30,65.0,neutral or dissatisfied
14572,82070,Male,disloyal Customer,44,Business travel,Business,1276,1,1,1,2,3,1,3,3,3,4,5,3,4,3,0,0.0,neutral or dissatisfied
24964,60729,Female,Loyal Customer,48,Personal Travel,Eco,1605,2,2,1,4,5,2,4,1,1,1,1,4,1,4,0,0.0,neutral or dissatisfied
49008,114597,Male,disloyal Customer,26,Business travel,Business,362,4,0,4,2,2,4,2,2,4,2,5,3,4,2,2,0.0,satisfied
13468,16530,Female,Loyal Customer,42,Business travel,Eco,209,5,4,4,4,4,4,2,5,5,5,5,4,5,3,75,77.0,satisfied
95799,111766,Female,Loyal Customer,21,Personal Travel,Eco Plus,1436,1,2,1,3,4,1,4,4,2,4,2,4,4,4,92,98.0,neutral or dissatisfied
21464,68413,Male,Loyal Customer,23,Business travel,Business,2517,1,0,0,3,5,0,5,5,1,3,4,4,4,5,0,0.0,neutral or dissatisfied
60837,116730,Male,Loyal Customer,62,Personal Travel,Eco Plus,372,3,0,3,1,5,3,5,5,4,5,5,5,3,5,72,65.0,neutral or dissatisfied
7362,19646,Female,Loyal Customer,27,Personal Travel,Eco Plus,531,2,5,5,1,2,5,2,2,4,2,4,5,4,2,2,0.0,neutral or dissatisfied
21038,127607,Female,Loyal Customer,55,Business travel,Eco,1773,3,2,5,2,3,2,3,3,3,3,3,4,3,4,2,0.0,neutral or dissatisfied
59815,81043,Female,Loyal Customer,50,Business travel,Eco,1399,1,2,2,2,4,3,4,1,1,1,1,1,1,4,0,5.0,neutral or dissatisfied
28694,126369,Female,Loyal Customer,56,Personal Travel,Eco,507,3,5,3,1,5,5,4,4,4,3,4,5,4,3,3,1.0,neutral or dissatisfied
57862,4370,Male,disloyal Customer,27,Business travel,Business,528,1,1,1,3,3,1,3,3,5,5,4,3,5,3,0,0.0,neutral or dissatisfied
1258,62729,Female,Loyal Customer,51,Business travel,Business,2486,4,4,5,4,4,4,5,4,4,4,4,4,4,5,0,0.0,satisfied
67485,9002,Male,Loyal Customer,43,Business travel,Business,1566,5,5,5,5,5,5,5,4,4,4,4,4,4,3,12,0.0,satisfied
32836,117045,Male,Loyal Customer,59,Business travel,Business,451,5,5,5,5,5,5,5,2,2,2,2,5,2,3,1,0.0,satisfied
78088,65353,Female,disloyal Customer,50,Business travel,Eco,631,3,4,4,3,5,4,1,5,3,4,4,4,3,5,10,0.0,neutral or dissatisfied
16898,48405,Female,disloyal Customer,24,Business travel,Eco,846,2,2,2,1,1,2,1,1,4,4,5,3,4,1,0,0.0,neutral or dissatisfied
2424,72511,Female,Loyal Customer,54,Business travel,Eco,1121,3,3,3,3,2,4,4,3,3,3,3,4,3,3,0,0.0,neutral or dissatisfied
88160,33548,Male,disloyal Customer,38,Business travel,Eco,399,2,5,1,2,1,1,1,1,4,1,5,3,3,1,42,28.0,neutral or dissatisfied
72143,36909,Female,Loyal Customer,15,Personal Travel,Eco,2072,4,5,4,3,4,4,4,4,3,4,3,4,4,4,4,14.0,neutral or dissatisfied
55466,90487,Female,Loyal Customer,60,Business travel,Business,250,0,0,0,2,4,4,5,4,4,5,5,4,4,3,0,0.0,satisfied
14207,72838,Female,Loyal Customer,17,Personal Travel,Eco,1013,3,4,3,3,1,3,1,1,1,1,4,1,3,1,0,0.0,neutral or dissatisfied
94508,42883,Male,Loyal Customer,30,Business travel,Eco Plus,867,5,2,4,2,5,5,5,5,3,3,2,5,5,5,0,0.0,satisfied
28537,77539,Male,Loyal Customer,51,Business travel,Business,2199,1,1,1,1,2,5,5,5,5,5,5,4,5,4,0,0.0,satisfied
93422,46874,Male,Loyal Customer,31,Business travel,Business,964,2,2,2,2,5,5,5,5,1,5,3,3,1,5,0,0.0,satisfied
93638,36780,Male,Loyal Customer,70,Business travel,Eco,2704,3,1,1,1,3,3,3,4,5,3,3,3,1,3,2,19.0,neutral or dissatisfied
99360,40426,Female,Loyal Customer,52,Business travel,Business,3488,2,4,2,2,1,5,2,5,5,5,5,3,5,4,0,0.0,satisfied
48326,59949,Female,Loyal Customer,56,Business travel,Eco,1068,3,5,1,1,3,2,3,3,3,3,3,2,3,3,0,0.0,neutral or dissatisfied
7423,18905,Male,Loyal Customer,10,Personal Travel,Eco,551,3,3,3,3,3,3,5,3,4,5,4,2,4,3,0,0.0,neutral or dissatisfied
98465,71629,Female,Loyal Customer,50,Business travel,Eco,720,4,4,4,4,2,2,5,4,4,4,4,2,4,1,0,0.0,satisfied
14743,29927,Male,Loyal Customer,25,Business travel,Business,373,1,1,2,1,4,4,4,4,4,5,4,2,4,4,1,3.0,satisfied
28316,34470,Male,Loyal Customer,37,Business travel,Business,266,3,1,1,1,2,4,4,3,3,3,3,3,3,1,90,85.0,neutral or dissatisfied
19706,91950,Female,Loyal Customer,68,Personal Travel,Eco,2586,2,4,2,4,2,4,2,1,1,2,1,3,1,3,0,0.0,neutral or dissatisfied
5284,122296,Female,Loyal Customer,62,Personal Travel,Eco,544,2,0,2,2,2,5,4,2,2,2,2,4,2,3,0,0.0,neutral or dissatisfied
75934,107889,Male,Loyal Customer,26,Business travel,Business,1621,5,5,5,5,2,2,2,2,3,2,5,5,5,2,0,0.0,satisfied
64969,102347,Female,disloyal Customer,22,Business travel,Eco,223,3,3,3,4,4,3,3,4,1,2,3,3,4,4,22,14.0,neutral or dissatisfied
47189,57162,Female,Loyal Customer,33,Business travel,Business,2227,3,3,3,3,4,5,4,5,5,5,5,3,5,4,0,0.0,satisfied
99497,90872,Male,Loyal Customer,25,Business travel,Business,594,1,0,0,4,1,0,1,1,3,4,3,1,4,1,62,80.0,neutral or dissatisfied
97353,50597,Male,Loyal Customer,44,Personal Travel,Eco,266,1,0,1,3,1,1,5,3,5,4,4,5,3,5,186,175.0,neutral or dissatisfied
95426,96839,Female,disloyal Customer,28,Business travel,Eco,1041,1,1,1,4,5,1,3,5,1,4,3,2,4,5,71,62.0,neutral or dissatisfied
23761,32951,Female,Loyal Customer,70,Personal Travel,Eco,101,2,5,2,5,3,5,3,3,3,2,3,1,3,2,0,0.0,neutral or dissatisfied
86289,5095,Female,Loyal Customer,10,Personal Travel,Eco,224,4,4,4,4,2,4,2,2,3,4,4,3,4,2,95,94.0,satisfied
48390,103388,Male,disloyal Customer,23,Business travel,Eco,237,2,5,2,3,2,2,2,2,4,4,4,5,5,2,1,0.0,neutral or dissatisfied
55843,67058,Female,Loyal Customer,33,Business travel,Business,985,1,1,1,1,3,5,5,4,4,4,4,3,4,5,16,6.0,satisfied
25735,101986,Female,Loyal Customer,10,Personal Travel,Eco,628,3,3,3,4,3,3,2,3,4,1,3,4,3,3,10,1.0,neutral or dissatisfied
71001,108403,Male,Loyal Customer,41,Business travel,Business,1750,5,5,5,5,3,3,4,2,2,2,2,4,2,5,22,21.0,satisfied
20407,69174,Female,Loyal Customer,51,Business travel,Eco,187,3,5,5,5,2,4,4,3,3,3,3,4,3,2,0,0.0,neutral or dissatisfied
